"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu May 16 10:18:33 IST 2024","Thu May 16 10:20:22 IST 2024","109170","Test_case","test_nokari","Test_Nokari_login","","","Nokari Profile",""
"broken","Thu May 16 10:17:34 IST 2024","Thu May 16 10:18:29 IST 2024","55137","Test_case","test_nokari","Test_Nokari_login","","","Nokari Profile",""
